name,city,state,identifier,rating,address,latitude,longitude,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
,cayucos,california,cayucos,4,"55 Ocean Front Ave, Cayucos, CA 93430",35.449336,-120.906341,wood/masonite & concrete,,,,,,,,,,northwestskater.com,http://www.northwestskater.com/cayucosca.html,,4,"wood/masonite ramp, metal coping, pool coping"
,ceres,california,ceres,3,"Moffett Rd & Fowler Rd, Ceres, CA 95307",37.601996,-120.947872,concrete,,,,,16000,,,,,,,,5,
,cerritos,california,cerritos,2,"19900 Bloomfield Ave, Cerritos, CA 90703",33.8486694,-118.0601449,concrete,purkiss rose,hondo company inc,2000,8am - Dusk Mon: 11am - Dusk,10000,,,,,,,,4,
the skate house,chatsworth,california,chatsworth,3,"9725 Variel Ave, Chatsworth, CA 91311",34.2471972,-118.5932894,wood/masonite,,,,,13000,,,,,,,,4,
,chico,california,chico,2,"Humboldt Ave & Flume St, Chico, CA 95928",39.7261023,-121.8322658,concrete,wormhoudt inc.,wormhoudt inc.,1999,,10000,,,,,,,,4,
ayala park,chino,california,chino,4,"Central Ave & Edison Ave, Chino, CA 91708",33.9972873,-117.6890859,concrete,site design,california skateparks,2003,8am - 10pm,27624,,,,yes,northwestskater.com,http://www.northwestskater.com/chino.html,,4,
,chino hills,california,chino hills,3,"16333 Fairfield Ranch Rd, Chino Hills, CA 91709",33.958298,-117.678162,concrete,purkiss rose/california skateparks,,2003,7am - Dusk,6000,,,,,northwestskater.com,http://www.northwestskater.com/chinohills.html,,4,
heritage park skate plaza,chula vista,california,chula vista,1,"1381 E Palomar St, Chula Vista, CA 91913",32.6247698,-116.9976715,concrete,,,,Dawn - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/chula-vista-heritage-park-street-plaza-san-diego-skateparks.html,,4,"rails, ledges, stairs"
len moore skatepark,chula vista,california,chula vista2,3,"1301 Oleander Ave, Chula Vista, CA 91911",32.6160058,-117.0333054,wood/masonite & concrete,purkiss rose,kf stratton,2003,,25000,,This is a private skatepark. It costs money and requires a helmet/pads to skate.,,yes,northwestskater.com,http://www.northwestskater.com/chulavistaLM.html,,4,
montevalle skate plaza,chula vista,california,chula vista3,1,"840 Duncan Ranch Rd, Chula Vista, CA 91914",32.6593575,-116.9519414,concrete,,,,8am - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/chula-vista-montevalle-street-plaza-san-diego-skateparks.html,,4,
salt creek skate plaza,chula vista,california,chula vista4,2,"1234 N Creekside Dr, Chula Vista, CA 91915",32.64305,-116.94692,concrete,,,,Dawn - Dusk,,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/chula-vista-salt-creek-street-plaza-san-diego.html,,4,
