name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,info,helmet,lights,photo_cred,photo_url,video_url,num_pics,obstacles
patriot park,greenfield,california,greenfield,3,"Spark St & 13th St Greenfield, CA 93927",concrete,wormhoudt inc.,wormhoudt inc.,2002,,11000,,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/19568-greenfield-skatepark-greenfield-california-usa,,4,
,gridley,california,gridley,2,"Washington St & Spruce St Gridley, CA 95948",prefabricated ramps,,,,,,,,,,Concrete Disciples,http://www.concretedisciples.com/index.php/skatepark/usa/northern-california/21410-skatepark-gridley-california-usa,,3,
mary laveroni park,groveland,california,groveland,1,"18818 Main St, Groveland, CA 95321",prefabricated ramps,,,,,,,,,,,,,1,
south county skatepark,grover beach,california,grover beach,2,"1750 Ramona Ave, Grover Beach, CA 93433",concrete,,,,,,,This is a private skatepark.  It costs money and requires a helmet/pads to skate.,,,,,,1,
,hanford,california,hanford,2,"421 Ford St, Hanford, CA 93230",concrete,,,,,,,,,,,,,4,
,hawaiian gardens,california,hawaiian gardens,1,"E 221st St & Clarkdale Ave, Hawaiian Gardens, CA 90716",prefabricated ramps,,,,10am-7pm,,,,,,,,,1,
larry guidi skatepark,hawthorne,california,hawthorne,3,"12100 Inglewood Ave, Hawthorne, CA 90250",concrete,,,,"Monday - Friday: 3pm - 9pm, Saturday - Sunday: 9am - 9pm",,,,,,socalskateparks.com,http://www.socalskateparks.com/listing/hawthorne-skatepark-los-angeles-skateparks.html,,4,
tennyson park,hayward,california,hayward,3,"28146 Huntwood Ave, Hayward, CA 94544",concrete,,,,,,,,,,,,,6,
cannery park,hayward,california,hayward2,2,"22652 Burbank St, Hayward, CA 94541",concrete,,,,,,,,,,,,,2,
carson warner memorial skatepark,healdsburg,california,healdsburg,3,"1100 Grove St Healdsburg, CA 95448",concrete,wormhoudt inc.,wormhoudt inc.,2000,"Winter Hours: 8am - 5pm, Summer Hours: 8am -7pm",20000,,,,,,,,3,
,hermosa beach,california,hermosa beach,,"Ardmore Ave & Pier Ave, Hermosa Beach, CA 90254",concrete,,,,"When Hermosa schools are in session - Monday through Friday: 3 – 7pm, Wednesdays 10 years of age or younger ONLY: 2 – 3pm, Saturday, Sunday: 12 – 7pm Hermosa school holidays, including Summer break - Monday through Sunday: 12 – 7pm",,,,,,,,,,
garvanza skatepark,highland park,california,highland park,,"6240 E Meridian Ave Los Angeles, CA 90042",concrete,purkiss rose,california skateparks,,,20000,,,,,,,,,
veterans memorial park,hollister,california,hollister,,"1221 Memorial Dr Hollister, CA 95023",concrete & prefabricated ramps,,,,,,,,,,,,,,
north hollywood skate plaza,hollywood,california,hollywood,,"Magnolia Blvd & Tujunga Ave North Hollywood, CA 91601",concrete,california skateparks/lance mountain,california skateparks,,,15000,,,,,,,,,
murdy park,huntington beach,california,huntington beach,1,"7000 Norma Dr Huntington Beach, CA 92647",concrete,,,,,,,,,,,,,,
vans off the wall skatepark,huntington beach,california,huntington beach2,4,"7471 Center Ave Huntington Beach, CA 92647",concrete,california skateparks/site design,california skateparks,2014,9am – Dusk,42500,,This skatepark may have BMX sessions on Wednesdays,,,,,,,
,idyllwild,california,idyllwild,2,"26375 CA-243 Idyllwild, CA 92549",prefabricated ramps,,,,,,,,,,,,,,
,imperial beach,california,imperial beach,3,"425 Imperial Beach Blvd, Imperial Beach, CA 91932",concrete,,,2010,Dawn - Dusk,,,,,,,,,,
,indio,california,indio,,,concrete,,,,,,"no info, call & check?",,,,,,,,
darby skatepark,inglewood,california,inglewood,2,"3400 W Arbor Vitae St Inglewood, CA 90305",prefabricated ramps,,,,,,,,,,,,,,
rogers park skatepark,inglewood,california,inglewood2,1,"400 West Beach Ave Inglewood, CA 90302",prefabricated ramps,,,,,,,,,,,,,,
vincent park skatepark,inglewood,california,inglewood3,1,"700 Warren Ln Inglewood, CA 90302",prefabricated ramps,,,,,,,,,,,,,,
,ione,california,ione,3,"W Plymout Hwy & CA-124 Ione, CA 95640",concrete,wormhoudt inc.,wormhoudt inc.,2005,Dawn - Dusk,7500,,,,,,,,,
mariners church/harvard skatepark,irvine,california,irvine,,"5001 Newport Coast Drive Irvine, CA 92603",concrete,wormhoudt inc.,california skateparks,2008,,6000,,,,,,,,,
,irwindale,california,irwindale,3,"5051 N Irwindale Ave Irwindale, CA 91706",concrete,,,,6am-Dusk,,,,,,,,,,
jess martin park,julian,california,julian,1,"2949 CA-79 Julian, CA 92036",prefabricated ramps,,,,,,,,,,,,,,
,king city,california,king city,1,"San Antonio Dr & Bedford Ave King City, CA 93930",prefabricated ramps,,,,,,,,,,,,,,
,la habra,california,la habra,3,"1208 Fahringer Way La Habra, CA 90631",concrete,,,,"Mon - Fri: 3pm - 8pm, Saturday - Sunday: 12pm - 8pm, Holidays: Closed",,,,,,,,,,
,la mesa,california,la mesa,2,"8881 Dallas St La Mesa, CA 91942",concrete,,,,Dawn - Dusk,,,,,,,,,,
4th ave skatepark,la puente,california,la puente,,"553 4th Ave La Puente, CA 91746",concrete,charles h strawter design inc,geocon engineering,2012,,11000,,,,,,,,,
,la quinta,california,la quinta,,"78468 Westward Ho Dr La Quinta, CA 92253",concrete,,,,,,,,,,,,,,
,la quinta,california,la quinta2,1,"Francis Hack Ln & Avenida Bermudas La Quinta, CA 92253",prefabricated ramps,,,,,,,,,,,,,,
,la verne,california,la verne,,"3104 D St La Verne, CA 91750",concrete,california skateparks,california skateparks,1998,,12550,,,,,,,,,
teramore skatepark,ladera ranch,california,ladera ranch,3,"26283 Sienna Pkwy Ladera Ranch, CA 92694",concrete,wally hollyday,wally hollyday,2005,,14000,,,,,,,,,"bowl, rail, quarterpipes, stairs, ledges, metal cpoing"
,laguna hills,california,laguna hills,3,"25401 Paseo De Valencia Laguna Hills, CA 92653",concrete,,,,8am - 10pm,,,,,,,,,,
,laguna niguel,california,laguna niguel,,"27745 Alicia Pkwy Laguna Niguel, CA 92677",concrete,california skateparks,california skateparks,,,24000,,,,,,,,,
mcvicker canyon skate park,lake elsinor,california,lake elsinor,2,"McVicker Canyon Park Rd & Grand Ave, Lake Elsinore,, CA 92530",prefabricated ramps,,,,,,,"This skatepark costs money to skate, requires a helmet/pads, and has designated bike sessions.",,,,,,,
skate zone at serenity park,lake elsinor,california,lake elsinor2,3,"Palomar St & Silverwood Dr Lake Elsinore, CA 92530",concrete,spohn ranch,spohn ranch,2015,6:30am- Dusk,,,,,,,,,,
etnies skatepark,lake forest,california,lake forest,,"20028 Lake Forest Dr Lake Forest, CA 92630",concrete,site design,california skateparks,December 2003 (expansion August 2011),mon - thurs 11am-9pm friday 11am-10pm sat 10am-10pm sun 10am-9pm,,,This skatepark requires a helmet/pads,,,,,,,
hansen dam skatepark,lake view terrace,california,lake view terrace,3,"Dronfield Ave & Osborne St Lake View Terrace, CA 91331",concrete,wormhoudt inc.,spohn ranch,2012,,9000,los angeles,,,,,,,,
lindo lake skatepark,lakeside,california,lakeside,3,"Woodside Ave & Chestnut St Lakeside, CA 92040",concrete,action sports design (stantec),,2014,,,,,,,,,,,
,lathrop,california,lathrop,3,"450 Spartan Way Lathrop, CA 95330",concrete,wormhoudt inc.,california skateparks,2014,,16000,,,,,,,,,
,lathrop,california,lathrop2,2,"7th St & L St Lathrop, CA 95330",concrete,site design,spohn ranch, ,9am-Dusk,7440,,,,,,,,,
lemon grove skate spot,lemon grove,california,lemon grove,1,"School Ln & Central Ave Lemon Grove, CA 91945",concrete,,,,,,,,,,,,,,"pole jam, rails, ledges"
,lemoore,california,lemoore,2,"Fox St & E St Lemoore, CA 93245",concrete,,,,,,,,,,,,,,
mcbean memorial park,lincoln,california,lincoln,1,"2nd St & D St Lincoln, CA 95648",prefabricated ramps,,,,,,,,,,,,,,
,livermore,california,livermore,3,"3663 Pacific Ave Livermore, CA 94550",concrete,wormhoudt inc.,a j vasconi,2000,Dawn - Dusk,11000,,,,,,,,,
,lodi,california,lodi,2,"1331 S Ham Ln Lodi, CA 95242",prefabricated ramps,,,,,,,,,,,,,,
vandenberg skatepark,lompoc,california,lompoc,,"H St & E Central Ave Lompoc, CA 93436",concrete,california skateparks,california skateparks,,,7000,,,,,,,,,
,lone pine,california,lone pine,,"601 S Main St Lone Pine, CA 93545",concrete,hardcore skateparks,,,,,,,,,,,,,
cherry park/bixby park,long beach,california,long beach,,"Cherry Ave & E 2nd St Long Beach, CA 90802",concrete,,california skateparks,,,,,,,,,,,,
drake park skatepark,long beach,california,long beach2,1,"951 Maine Ave Long Beach, CA 90813",prefabricated ramps,,,,,,,,,,,,,,
el dorado skatepark,long beach,california,long beach3,,"2800 Studebaker Road Long Beach, CA 90804",concrete,purkiss rose,california skateparks,2000,,12000,,This skatepark requires a helmet/pads,,,,,,,
houghton skatepark,long beach,california,long beach4,3,"6301 Myrtle Ave Long Beach, CA 90805",concrete,,,2004,,,,,,,,,,,
mcbride skatepark,long beach,california,long beach5,3,"E 15th St & Martin Luther King Jr Ave Long Beach, CA 90813",concrete,spohn ranch,spohn ranch,2012,7am - 10pm,11000,,,,yes,,,,,
michael green skatepark,long beach,california,long beach6,2,"W 14th St & N Pacific Ave Long Beach, CA 90813",concrete & prefabricated ramps,,,,,8000,,,,,,,,,
orizaba skate spot,long beach,california,long beach7,2,"Orizaba Ave & E 14Th St Long Beach, CA 90804",concrete,spohn ranch,spohn ranch,2011,,3500,,,,,,,,,
silverado skatepark,long beach,california,long beach8,1,"1545 W 31st St Long Beach, CA 90810",prefabricated ramps,,,,,,,,,,,,,,
blue anchor park,loomis,california,loomis,2,"3690 Taylor Rd Loomis, CA 95650",concrete,wormhoudt inc.,wormhoudt inc.,2013,,5000,,,,,,,,,
belvedere skatepark,los angeles,california,los angeles,4,"4914 East Cesar E Chavez Avenue Los Angeles, CA 90022",concrete,lawrence r moss & associates,,2007,10am-9pm,19000,,,,yes,,,,,
lake st skatepark,los angeles,california,los angeles10,,"227 N Lake St Los Angeles, CA 90026",prefabricated ramps,,,,,,,,,,,,,,
lincoln park,los angeles,california,los angeles11,,"3501 Valley Blvd Los Angeles, CA 90031",concrete,lance mountain & california skatepark,california skateparks,,,9000,,,,,,,,,
marsh creek skatepark,los angeles,california,los angeles12,,"2939 Marsh St Los Angeles, CA 90039",prefabricated metal ramps,,,,,,,,,,,,,,
monitor skatepark,los angeles,california,los angeles13,3,"Monitor Ave & E 114th St Los Angeles, CA 90059",concrete,spohn ranch,spohn ranch,2015,,6000,,,,,,,,,
nickerson gardens,los angeles,california,los angeles14,,"11251 Compton Ave Los Angeles, CA 90059",concrete,california skateparks,california skateparks,,,5100,,,,,,,,,
stoner skate plaza,los angeles,california,los angeles15,,"1835 Stoner Ave Los Angeles, CA 90025",concrete,california skateparks,california skateparks,,9am -9pm,20500,,,,,,,,,
sunland skatepark,los angeles,california,los angeles16,2,"Fenwick St & Foothill Bvld Los Angeles, CA 91040",prefabricated ramps,,,,,,,This skatepark costs money to skate.,,,,,,,
westchester skate plaza,los angeles,california,los angeles17,,"7000 W Manchester Ave Los Angeles, CA 90045",concrete,california skateparks,california skateparks,,,13000,,,,yes,,,,,
charmette bonpua skate plaza,los angeles,california,los angeles2,,5001 Rodeo Rd Los Angeles Ca,concrete,california skateparks,california skateparks,,,,,,,,,,,,
diamond supply co. skate plaza,los angeles,california,los angeles3,3,"2298 Norfolk St Los Angeles, CA 90033",concrete,california skateparks,california skateparks,2014,,10000,,,,,,,,,
el sereno skatepark,los angeles,california,los angeles4,2,"4721 Klamath St Los Angeles, CA 90032",prefabricated ramps,,,,,,,,,,,,,,
gilbert lindsay skate plaza,los angeles,california,los angeles5,3,"425 E 42nd Pl Los Angeles, CA 90011",concrete,california skateparks,california skateparks,2014,,,,,,,,,,,
hollenbeck skate plaza,los angeles,california,los angeles6,,"415 Saint Louis St Los Angeles, CA 90033",concrete,california skateparks,california skateparks,,,13000,,,,,,,,,
imperial court skate plaza,los angeles,california,los angeles7,,"2250 W 114th St Los Angeles, CA 90059",concrete,california skateparks,california skateparks,,,5300,,,,,,,,,
jackie tatum skate plaza,los angeles,california,los angeles8,3,"Halldale Ave & W 61St St Los Angeles, CA 90047",concrete,colby carter/california skateparks,california skateparks,,,10000,,,,,,,,,
lafayette skate plaza,los angeles,california,los angeles9,,"625 S Lafayette Park Pl Los Angeles, CA 90057",concrete,california skateparks,california skateparks,,,10000,,,,,,,,,
monitor park,los angeles (watts),california,watts,3,"E 114th St & Monitor Ave Los Angeles, CA 90059",concrete,spohn ranch,spohn ranch,2014,,6000,,,,,,,,,"ledges, hips, rail, stairs, quarterpipes, metal coping"
wlcac skatepark,los angeles (watts),california,watts2,3,,concrete,spohn ranch,spohn ranch,2010,,4000,,,,,,,,,"stairs, rails, ledges, quarterpipes, bank, metal coping"
,los osos,california,los osos,4,"2180 Palisades Ave Los Osos, CA 93402",concrete,wormhoudt inc.,wormhoudt inc.,2005,12pm - Dusk,17000,,This skatepark costs money to skate and requires a helmet/pads,,,,,,,
,loyalton,california,loyalton,2,"111 Beckwith Rd Loyalton, CA 96118",concrete,,,,,,,,,,,,,,
,lynwood,california,lynwood,3,"11301 Bullis Rd Lynwood, CA 90262",concrete,,,,,,,,,,,,,,
,madera,california,madera,3,"3656 N Gateway Dr Madera, CA 93637",concrete,,,,,,,,,yes,,,,,
volcom brothers skatepark,mammoth,california,mammoth,5,"1390 Meridian Blvd Mammoth Lakes, CA 93546",concrete,grindline,grindline,2006,Dawn - Dusk,40000,,,,,,,,,
,manteca,california,manteca,3,"W Center St & Elm Ave Manteca, CA 95336",concrete,,,,,,,,,,,,,,
,marina,california,marina,3,"304 Hillcrest Ave Marina, CA 93933",concrete,wormhoudt inc.,wormhoudt inc.,2004,9am - one hour after Dusk,11000,,,,,,,,,
,mariposa,california,mariposa,3,"4998-County Park Road Mariposa, CA 95338",concrete,wally holliday,california skateparks,,,8000,,,,,,,,,
,martinez,california,martinez,3,"243 N Court St Martinez, CA 94553",concrete,,,,,,,,,,,,,,
mather sports center skatepark,mather,california,mather,,"3755 Schriever Ave Mather, CA 95655",concrete,,,,6am - 10pm,18600,,,,,,,,,
benito juarez skate spot,maywood,california,maywood,2,"5515 Maywood Ave Maywood,, CA 90270",concrete,spohn ranch,spohn ranch,2014,,1800,,,,,,,,,
burgess skate park,menlo park,california,menlo park,3,"700 Alma St Menlo Park, CA 94025",concrete,wormhoudt inc.,wormhoudt inc.,2005,Dawn to Dusk,14000,,,,,,,,,
applegate skatepark,merced,california,merced,,"678 West 18th St Merced, CA 95340",concrete,,,,,7500,,,,,,,,,
mill valley skatepark,mill valley,california,mill valley,1,"425 Sycamore Ave Mill Valley, CA 94941",prefabricated ramps,,,,,,,,,,,,,,
,millbrae,california,millbrae,3,"Poplar Ave & Millbrae Ave Millbrae, CA 94030",concrete,,,2002,"summer & weekends: 8am - Dusk, school year: 12pm - Dusk",,,,,,,,,,
beebe skatepark,mission viejo,california,mission viejo,,"24190 Olympiad Rd Mission Viejo, CA 92692",concrete,,,1999,8am - Dusk,9000,,,,,,,,,
modesto skatepark,modesto,california,modesto,,"Forest Glenn Dr At Sylvan Ave Modesto, CA 95355",concrete,,,,,,,,,,,,,,
monrovia skatepark,monrovia,california,monrovia,3,"843 E Olive Ave Monrovia, CA 91016",concrete,purkiss rose,california skateparks,,Dawn - 8pm,13000,,,,,,,,,"bowl, rail, ledges, fun box, double set, metal coping"
,montclair,california,montclair,,"5111 Benito St Montclair, CA 91763",concrete,purkiss rose,california skateparks,,8 am until 10 pm,11000,,,,,,,,,
russian river skatepark,monte rio,california,monte rio,,"9725 Main St Monte Rio, CA 95462",concrete,wormhoudt inc.,spohn ranch skateparks,,,,,,,,,,,,
montebello skatepark,montebello,california,montebello,,"1300 Whittier Blvd Montebello, CA 90640",concrete,,,,m-f 12 to Dusk s-s 10 to Dusk,,,,,,,,,,
el estero skatepark,monterey bay,california,monterey bay,,"777 Pearl St Monterey, CA 93940",concrete,,,,,,,,,,,,,,
poindexter skatepark,moorpark,california,moorpark,,"500 Poindexter Ave Moorepark, CA 93021",concrete,community works,california skateparks,2009,,,,,,,,,,,
lamorinda skatepark,moraga,california,moraga,,"1799 St Mary's Road Moraga, CA 94556",prefabricated ramps,,,,,,,This skatepark costs money to skate and requires a helmet/pads,,,,,,,
moreno valley skatepark,moreno valley,california,moreno valley,,"W St & Sixth St Moreno Valley, CA 92551",concrete,,,,,,,,,,,,,,
morgan hill skatepark,morgan hill,california,morgan hill,,171 E Edmundson Avenue Morgan Hill California 95037,concrete,site design,california skateparks,,,12000,,This skatepark requires a helmet/pads to skate and has designated sessions for BMX/scooters,,,,,,,
rockies skatepark,morro bay,california,morro bay,,"231 Atascadero Rd Morro Bay, CA 93442",concrete,,,,,,,,,,,,,,
shastice park,mount shasta,california,mount shasta,4,"800 Rockfellow Dr Mt Shasta, CA 96067",concrete,wally hollyday,wally hollyday,,,11000,,,,,,,,6,"bowl, bank to wall, quarteripes, rails, ledges, pole jam, rock gap, banks, metal coping, pool coping"
mires's skatepark,mountain view,california,mountain view,,S Rengstorff Avenue & Central Expy,concrete,,,,,,,,,,,,,,
cal oaks skatepark,murietta,california,murietta,,"40606 California Oaks Rd Murrieta, CA 92562",concrete,,,2008 revamp,,,,,,,,,,,
,murrieta,california,murrieta,,"California Oaks Rd & Lincoln Ave Murrieta, CA 92562",concrete,purkiss rose,california skateparks,,,7500,,,,,,,,,
napa rip zone skatepark,napa,california,napa,,"Pearl St & West St Napa, CA 94558",concrete,,,1995,,8000,,,,,,,,,
kennedy park,napa,california,napa2,4,"2295 Streblow Dr Napa, CA 94558",concrete,california skateparks,california skateparks,2015,,30000,,,,,,,,6,"rails, ledges, bowls, quarterpipes, spine, stairs, metal coping, pool coping"
needles skatepark,needles,california,needles2,3,"1183 Filip Mendez Pkwy Needles, CA 92363",concrete,california skateparks,california skateparks,,,10000,,,,,,,,,
newbury park skatepark,newbury park,california,newbury park,2,"190 North Reino Road Newbury Park, CA 91320",concrete,,,2009,,9000,,,,,,,,,
north hollywood skate plaza,north hollywood,california,north hollywood,,"11430 Chandler Boulevard Los Angeles, CA 91601",concrete,,california skateparks,2010,Dawn - Dusk,150000,,,,,,,,,
doyle skatepark,norwalk,california,norwalk,2,"12200 Sproul St Norwalk, CA 90650",prefabricated ramps,,,,,,,,,,,,,,
novato skatepark,novato,california,novato,,"1200 N Hamilton Pkwy Novato, CA 94949",concrete,,wormhoudt inc.,2002,10am - Dusk,15000,,,,,,,,,
boys & girls club skatepark,oakhurst,california,oakhurst,,"40094 Indian Springs Road Oakhurst, CA 93644",concrete,,,,,,,,,,,,,,
lower bob's,oakland,california,oakland,4,"1822 9th St Oakland, CA 94607",concrete,,,,,,,This is a DIY skatepark.,,,,,,,
oakland town park,oakland,california,oakland2,4,"1651 Adeline St Oakland, CA 94607",concrete,grindline,grindline,2008,,,,This skatepark received a revamp in 2015.,,,,,,,
youth uprising skate plaza,oakland,california,oakland3,3,"8711 Macarthur Blvd Oakland, CA 94605",concrete,site design,california skateparks,,Dawn to Dusk,19000,,,,,,,,,
alex road skatepark,oceanside,california,oceanside,4,"Alex Rd & Foussat Rd Oceanside, CA 92058",concrete,,,2013,,22700,,,,,,,,,
bishop skatepark,oceanside,california,oceanside2,4,"5306 North River Rd, Oceanside, CA 92057",concrete,,grindline,2008,daylight hours,8000,,,,,,,,,
john landes skatepark,oceanside,california,oceanside3,1,"4125 Lewis St Oceanside, CA 92056",concrete,,,2003,daylight hours,,,,,,,,,,
libby lake skatepark,oceanside,california,oceanside4,,"504 Calle Montecito Oceanside, CA 92057",concrete,,,2003,daylight hours,,,,,,,,,,
martin luther king jr skatepark,oceanside,california,oceanside5,,"4300 Mesa Dr Oceanside, CA 92057",concrete,,grindline,2008,daylight hours,6000,,,,,,,,,
,ojai,california,ojai,3,"405 E Ojai Ave Ojai, CA 93023",concrete,site design,california skateparks,2010,,11700,,,,,,,,,"rails, ledges, quarterpipes, bowl, metal coping, pool coping, pyramid"
vans skatepark,orange,california,orange2,,"20 City Blvd West Orange, CA 92861",concrete,,rcmc california skateparks,,,46000,,,,,,,,,
orange cove skatepark,orange cove,california,orange,,"S Anchor Ave & Parlier Ave Orange Cove, CA 93646",concrete,,site design,,12pm - 8pm,,,,,,,,,,
bedrock skate & bike park,oroville,california,oroville,,"1100 Feather River Blvd Oroville, CA 95965",concrete,,altman engineering,,,14500,,,,,,,,,
oxnard skatepark,oxnard,california,oxnard,3,3250 S Rose Ave Oxnard Ca,concrete,wormhoudt inc.,california skateparks,2004,m-th 2-8 f 2-10 sat 10-10 sun 10-8,15000,,,,,,,,,
pacifica skatepark,pacifica,california,pacifica,4,"540 Crespi Dr Pacifica, CA 94044",concrete,,,2005,"Mon - Sat: 9am - Dusk, Sun: 10:30am - Dusk",14000,,,,,,,,,
p-rod skatepark,pacoima,california,pacoima,,"10731 Laurel Canyon Blvd Pacoima, CA 91331",concrete,,california skateparks,2009,,,,,,,,,,,
pala skatepark,pala,california,pala,4,"Henderson Rd & Pala Mission Rd Pala, CA 92059",concrete,california skateparks,california skateparks,2008,"Mon – Fri: 2pm – Dusk, Sat – Sun: 10am – 6:30pm",18000,,This skatepark has designated BMX sessions.,,,,,,,"rails, stairs, bowls, ledges, pool coping, metal coping"
,palm desert,california,palm desert,,Fred Waring Dr & San Pablo Ave Palm Desert Riverside California 92260,concrete,purkiss rose,california skateparks,,6am - 10pm,10000,,,,,,,,,
sunrise plaza skatepark,palm springs,california,palm springs,,"4401 South Pavilion Way Palm Springs, CA 92262",concrete,,,2003,12pm - 10pm,30000,,,,,,,,,
chris o'leary skatepark,palmdale,california,palmdale,3,"37716 55th St Palmdale, CA 93552",concrete,,,,6am - 10pm,,,,,yes,,,,,
palmdale skatepark west,palmdale,california,palmdale2,3,"39700 30th St W Palmdale, CA 93551",concrete,,,,10am - 9pm,,,,,yes,,,,,
greer skatepark,palo alto,california,palo alto,,"2860 W Bayshore Rd Palo Alto, CA 94303",concrete,,,,,,,,,,,,,,
cardenas skate plaza,panorama city,california,panorama city,,"14740 Blythe St Panorama City, CA 91402",concrete,california skateparks,california skateparks,,,4500,,,,,,,,,
village skatepark,paramount,california,paramount,,"7700 Somerset Ave Paramount, CA 90723",concrete,,,2001,,,,,,,,,,,
pasadena skatepark,pasadena,california,pasadena,,"45 E Washington Boulevard Pasadena, CA 91101",concrete,,,,,,,,,,,,,,
,patterson,california,patterson,4,"1033 W Las Palmas Ave Patterson, CA 95363",concrete,wally hollyday,,2011,,14000,,,,,,,,,
paragon skatepark,perris,california,perris,2,"333 Placentia Ave Perris, CA 92571",prefabricated ramps,,,,Dawn - Dusk,,,,,,,,,,
petaluma skatepark,petaluma,california,petaluma,,"East Washington St & Fairgrounds Drive Petaluma, CA 94952",concrete,,,,,,,,,,,,,,
ramp rats skatepark,petaluma,california,petaluma2,,"1004 Lakeville St Petaluma, CA 94952",concrete,,,,,8000,,,,,,,,,
pico rivera skatepark,pico rivera,california,pico rivera,,"6016 Rosemead Blvd Pico Rivera, CA 90660",concrete,,,,10-Dusk,10000,,,,,,,,,
piedmont skatepark,piedmont,california,piedmont,,"Moraga Ave & Red Rock Rd Piedmont, CA 94618",concrete,,,,,,,,,,,,,,
,placerville,california,placerville,3,"216 Armory Rd Placerville, CA 95667",concrete,site design,california skateparks,,,18500,,,,,,,,,
pleasanton skatepark,pleasanton,california,pleasanton,,"Hopyard Road & Parkside Drive Pleasanton, CA 94588",concrete,,,,,,,,,,,,,,
pleasanton skatepark #2,pleasanton,california,pleasanton2,,"Stoneridge Dr & Johnson Dr Pleasanton, CA 94566",concrete,,,,,18000,,,,,,,,,
nike/la84 skate plaze,pocoima,california,pocoima,,10731 Laurel Canyon Blvd Pocoima Ca,concrete,california skateparks/lance mountain,california skateparks,,,12000,,,,,,,,,
martin luther king skatepark,pomona,california,pomona,,"E Lexington & White Ave Pomona, CA 91766",concrete,purkiss rose,california skateparks,,,11000,,,,,,,,,
palomares skatepark,pomona,california,pomona2,,"499 E Arrow Hwy Pomona, CA 91767",concrete,,,,,,,,,,,,,,
,porterville,california,porterville,,"1501 West Henderson Ave Porterville, CA 93257",concrete,site design,california skateparks,,,15000,,,,,,,,,
poway skatepark,poway,california,poway,4,"13090 Civic Center Dr Poway, CA 92064",concrete,wormhoudt inc.,california skateparks,2003,8am - 9:30pm,14400,,,,,,,,,
,quincy,california,quincy,3,"1304 Pioneer Rd Quincy, CA 95971",concrete,,,2003,9am - Dusk,11000,,,,,,,,,
mathers skate plaza,rancho cordova,california,rancho cordova,,"3755 Schriever Ave Rancho Cordova, CA 95655",concrete,site design,california skateparks,,,10000,,,,,,,,,
,rancho cuamonga,california,rancho cuamonga,2,"7730 Spruce Ave Rancho Cucamonga, CA 91730",concrete,purkiss-rose,,,8am - Dusk,9000,,,,,,,,,
,rancho santa margarita,california,rancho santa margarita,3,"24328 Antonio Pkwy Rancho Santa Margarita, CA 92688",concrete,,,,Dawn - Dusk,,,,,,,,,,
,red bluff,california,red bluff,3,"700 Diamond Ave Red Bluff, CA 96080",concrete,,,,8am - Dusk,,,,,,,,,,
,redding,california,redding,3,"12 Quartz Hill Rd Redding, CA 96003",concrete,,,,,,,,,,,,,,
phil shao memorial skatepark,redwood city,california,redwood city,3,"Red Morton Rd & Valota Rd Redwood City, CA 94061",concrete,,,,Dawn - Dusk,,,,,,,,,,"bowl, ledges"
fergusson skatepark,rialto,california,rialto,4,"2474 W Casa Grande Dr Rialto, CA 92377",concrete,spohn ranch,spohn ranch,2012,,16000,,,,,,,,,"pole jam, quarterpipe, bowl, pool coping, metal coping, stairs, ledges, rails, euro-gap"
rialto skatepark,rialto,california,rialto2,3,"201 N Willow Ave Rialto, CA 92376",concrete,,,,,,,,,,,,,,"stairs, rails, ledges, manual pad, quarterpipes, pyramid, hips, metal coping"
nicholl skatepark,richmond,california,richmond,3,"3230 Macdonald Ave Richmond, CA 94804",concrete,pillar design studios,,2009,,10000,,,,,,,,,"quarterpipe, pyramid, ledges, rails, mini-ramp, metal coping"
,ridgecrest,california,ridgecrest,3,"French Ave & La Mirage Ln Ridgecrest, CA 93555",concrete,,,,,,,,,,,,,,"quarterpipe, rails, stairs, hips, pyramid, ledges, bowl, metal coping"
,rio vista,california,rio vista,1,"Industrial Ct & Poppy House Rd Rio Vista, CA 94571",prefabricated ramps,,,,,,,,,,,,,,
curt pernice skatepark,ripon,california,ripon,4,"1350 Hughes Ln Ripon, CA 95366",concrete,team pain,team pain,2001,Dawn - Dusk,,,,,,,,,,"quarterpipes, hips, pyramid, spine, metal coping"
,riverbank,california,riverbank,3,"1St St & Santa Fe Ave Riverbank, CA 95367",concrete,,,,Dawn - Dusk,,,,,,,,,,"stairs, rails, quarterpipes, pyramid, ledges, bowl, metal coping"
bobby bonds skatepark,riverside,california,riverside,2,"11th St And Douglass Ave, Riverside, Ca",prefabricated ramps,,,,,,,,,yes,,,,,"mini-ramp, pyramid, stairs, rails, ledges, picnic table, manual pad"
hunt park,riverside,california,riverside2,3,"4015 Jackson St Riverside, CA 92503",concrete,,,,7am - 9pm,,,,,yes,,,,,"pyramid, stairs, rails, ledges, mini ramp"
jurupa skatepark,riverside (jurupa),california,riverside (jurupa),3,"4810 Pedley Rd Riverside, CA 92509",concrete,lawrence r moss & associates,california skateparks,,8am - 10pm,16000,,,,yes,,,,,"rails, pyramid, stairs, ledges, bowl, metal coping"
,rocklin,california,rocklin,3,"Farron St & C St Tocklin, CA 95677",concrete,wormhoudt inc.,wormhoudt inc.,1999,Dawn - One hour after Dusk,8000,,,,,,,,,"rails, ledges, quarterpipes, pyramid"
