name,city,state,rating,designer,builder,opened,address,hours,size,notes,helmet
,Daly City,CA,,,,,,,,,
,Davis,CA,1,,,1993,1405 F St Davis CA 95616,,,,
,Delano,CA,,Site Design,,,Cecil Ave & Madison St Delano CA 93215,Sunrise-Sunset,23342,,
,Delhi,CA,,Skatewave (prefab),Skatewave (prefab),2006,Shanks Rd & Schendel Ave Delhi CA 95315,,,,
,Desert Hot Springs,CA,,Lawrence R. Moss & Associates,,2003,West Dr & 1st St Desert Hot Springs CA 92240,Sunrise-Sunset,10000,,
,Diamond Bar,CA,,Purkiss Rose,,,24142 Sylvan Glen Rd Diamond Bar CA 91765,7am - Dusk,10000,,
,Dixon,CA,,,,,Hall Park Dr & E Chestnut St. Dixon CA 95620,,,,
Independence Park,Downey,CA,,Purkiss Rose,,2002,12334 Bellflower Blvd Downey CA 90242,,10000,pad nannies,
Pamela Park,Duarte,CA,1,Skatewave (prefab),,,2236 Goodall Ave Duarte CA 91010,,,,
,Duarte,CA,,Lawrence R. Moss & Associates,California Skateparks,,1401 Central Ave. Duarte CA 91010,Sunrise-Sunset,10000,,
Emerald Glen Skatepark,Dublin,CA,2,,,,4201 Central Pkwy Dublin CA 94568,Sunrise-Sunset,,,
Arnold Park,Edwards Air Force Base,CA,,,,,,,,verify,
Kennedy Skatepark,El Cajon,CA,,Purkiss Rose,,2002,1675 E Madison Ave El Cajon CA 92019,Mon-Fri: 4:00-9:00 Sat: 12:00-9:00 Sun: 12:00-7:00,11000,requires $5 memership card pad nannies,
Renette Skate Plaza,El Cajon,CA,,,,,935 Emerald Ave El Cajon CA 92020,,,,
,El Dorado Hills,CA,1,Prefab,Prefab,,1021 Harvard Way El Dorado Hills CA 95762,,,has lights special hours waiver pad nannies,
,El Segundo,CA,2,,,8/17/2004,405 E Grand Ave El Segundo CA 90245,Monday - Friday: 11:00 AM - 9 PM Saturday: 2:30 PM - 10:30 PM Sunday: Noon - 5 PM,,18 & under,
,Elk Grove,CA,,,,,9014 Bruceville Rd Elk Grove CA 95758,8am - Sunset,,special hours fee?,
Derr-Okamota Park,Elk Grove,CA,,Site Design,,,9550 Mainline Drive Elk Grove CA 95624,,13300,street plaza,
Magdalena Ecke Family YMCA,Encinitas,CA,,Site Design/Team Pain,,,200 Saxony Rd Encinitas CA 92024,,37000,membership fees hours,
Pedlow,Encino,CA,,Purkiss Rose,California Skateparks,2001,17334 Victory Blvd. Encino CA 91406,,20000,,
Escondido Sports Center,Escondido,CA,,Ramp Armor,Ramp Armor,,3315 Bear Valley Pkwy S Escondido CA,,22000,fees session times not a public park,
,Eureka,CA,,Wormhoudt,,2010,1720 10th St Eureka CA 95501,,12000,,
Allan Witt Rotary Skatepark,Fairfield,CA,,,,7/2/2015,1900 Woolner Ave Fairfield CA 94533,Sunrise-Sunset,,,
Travis Air Force Base,Fairfield,CA,1,Prefab,Prefab,,Air Base Pkwy Fairfield CA,,,,
,Fallbrook,CA,,,,,445 E Ivy St Fallbrook CA 92028,,,fees special hours wood perm. Park to com,
,Fillmore,CA,3,Community Works,California Skateparks,,River St. & C. St. Fillmore CA 93015,,12000,,
Maldonado Skatepark,Firebaugh,CA,,Wormhoudt,Clark Bros Construction Inc.,2008,Clyde Fannon Rd & Thomas Conboy Ave Firebaugh CA 93622,,14000,cost $767000,
Mathy Bethune Skatepark,Florence,CA,,Skatewave (prefab),Skatewave (prefab),,Hooper Ave & E 62nd St Florence-Graham CA 90001,,,,
Cummings Skatepark,Folsom,CA,,Wormhoudt,,2003,1775 Creekside Dr Folsom CA 95630-3457,,21000,costs $2 session times pads and helmet lights,
Jesse Turner Skatepark (Fontana North),Fontana,CA,,Site Design,California Skateparks,,5553 Lytle Creek Rd. Fontana CA 92336,Mon - Thurs 2pm-9pm F - 12pm-9pm Sat & Sun - 9am - 9pm,20000,,
Juniper Community Center (Fontana South),Fontana,CA,,California Skateparks,California Skateparks,2002,16581 Filbert Ave Fontana CA 92336,,26000,,
,Frazier Park,CA,1,Prefab,Prefab,,4001 Frazier Mountain Park Rd Frazier Park CA 93225,,,,
,Fremont,CA,,Wormhoudt,,,,,30000,,
,Fremont,CA,,RampTech (prefab),RampTech (prefab),,,,,might be torn down,
Lion's Den Skatepark,Fresno,CA,,Site Design,,2002,N Emerson Ave & W Indianapolis Ave Fresno CA 93705,8am-10pm,30000,2002,
Cary Ramp Park,Fresno,CA,,Prefab,Prefab,,4750 N Fresno St Fresno CA 93726,Sunrise-Sunset,,lights,
Kaiser Ramp Park,Fresno,CA,,,,,425 E Alluvial Ave Fresno CA 93720,Sunrise-Sunset,,,
Melody Ramp Park,Fresno,CA,,,,,5935 E Shields Ave Fresno CA 93727,Sunrise-Sunset,,,
Romain Ramp Park,Fresno,CA,,,,,745 N 1st St Fresno CA 93701,Sunrise-Sunset,,,
The Ark,Fresno,CA,,,,,1707 W Jensen Ave Fresno CA 93706,Sunrise-Sunset,,vert ramp,
Mosqueda Bike Park,Fresno,CA,,,,2009,E Butler Ave & S Maple Ave Fresno CA 93702,,30000,,
Vagabond Pool Complex,Fresno,CA,,,,,,,,in progress,
Todd Beamer Skatepark,Fresno,CA,,Wormhoudt,California Skateparks,2/26/2010,9797 N. Maple Fresno CA 93720,,14000,,
Independence Park,Fullerton,CA,,Purkiss Rose,,,,,12000,,
,Galt,CA,,Prefab,Prefab,,620 Chabolla Ave Galt CA 95632,,,,
,Garden Grove,CA,,,,2010,9301 Westminster Ave Garden Grove CA 92844,9am - 11pm,,lights cost $95000,
Arthur Lee Johnson Memorial Park,Gardena,CA,,Spohn Ranch,Spohn Ranch,2012,,,7000,,
Rowley Park,Gardena,CA,,Spohn Ranch,Spohn Ranch,2012,13220 Van Ness Ave Gardena CA 90249,,8000,,
,Glendora,CA,,Lawrence R. Moss & Associates,California Skateparks,,160 Wabash N. Ave Glendora CA,,10000,,
Garvanza Skatepark,Highland Park,CA,,Purkiss Rose,California Skateparks,,6240 E. Meridian Ave. Los Angeles CA 90042,,20000,,
North Hollywood Skate Plaza,Hollywood,CA,,California Skateparks/Lance Mountain,California Skateparks,,Magnolia Boulevard And Tujunga Avenue North Hollywood CA 91601,,15000,,
Mariners Church,Irvine,CA,,Wormhoudt,California Skateparks,2008,5001 Newport Coast Drive Irvine CA 92603,,6000,,
James Huber Skatepark,Jurupa,CA,,Community Works,California Skateparks,,6411 Rolling Meadow St. Jurupa CA. 92880,,16881,,
,La Quinta,CA,,,California Skateparks,,,,,,
,La Verne,CA,,California Skateparks,California Skateparks,1998,3104 D Street La Verne CA 91750,,12550,,
,Laguna Niguel,CA,,California Skateparks,California Skateparks,,27745 Alicia Pkwy. Laguna Niguel Ca. 92677,,24000,,
