skatepark_id,city,state,address,latitude,longitude
166,irvine,california,"5001 Newport Coast Dr, Irvine, CA 92603",33.631998,-117.832325
167,irvine,california,"Harvard Ave & Poplar St, Irvine CA 92606",33.707262,-117.800547
168,irwindale,california,"5051 N Irwindale Ave, Irwindale, CA 91706",34.104513,-117.934881
169,julian,california,"2949 CA-79, Julian, CA 92036",33.07151,-116.592852
170,king city,california,"San Antonio Dr & Bedford Ave, King City, CA 93930",36.20983,-121.140527
171,la habra,california,"1208 Fahringer Way, La Habra, CA 90631",33.936413,-117.959751
172,la mesa,california,"8881 Dallas St, La Mesa, CA 91942",32.788217,-117.005739
173,la puente,california,"553 4th Ave, La Puente, CA 91746",34.034851,-117.993186
174,la puente,california,"510 Vineland Ave, La Puente, CA  91746",34.051871,-117.986609
175,la quinta,california,"45768 Adams St, La Quinta, CA 92253",33.715751,-116.28582
176,la quinta,california,"78130 Francis Hack Ln, La Quinta, CA 92253",33.671278,-116.302191
177,la verne,california,"D St & Durward Way, CA 91750",34.111247,-117.765606
178,ladera ranch,california,"26283 Sienna Pkwy, Ladera Ranch, CA 92694",33.544812,-117.641109
179,laguna hills,california,"25401 Paseo De Valencia, Laguna Hills, CA 92653",33.59291,-117.70082
180,laguna niguel,california,"Alicia Pkwy & El Lazo, Laguna Niguel, CA 92677",33.557982,-117.717371
181,lake elsinore,california,"McVicker Canyon Park Rd & Grand Ave, Lake Elsinore, CA 92530",33.686976,-117.399834
182,lake elsinore,california,"Palomar St & Silverwood Dr, Lake Elsinore, CA 92530",33.623324,-117.303616
183,lake forest,california,"20028 Lake Forest Dr, Lake Forest, CA 92630",33.670908,-117.660388
184,lakeside,california,"Woodside Ave & Chestnut St, Lakeside, CA 92040",32.857883,-116.919752
185,lathrop,california,"450 Spartan Way, Lathrop, CA 95330",37.825821,-121.300537
186,lathrop,california,"7th St & L St Lathrop, CA 95330",37.82007,-121.2755711
187,lemon grove,california,"School Ln & Central Ave, Lemon Grove, CA 91945",32.739357,-117.029701
188,lemoore,california,"Fox St & E St, Lemoore, CA 93245",36.302881,-119.786465
189,lincoln,california,"2nd St & D St, Lincoln, CA 95648",38.8884,-121.28633
190,livermore,california,"3899 Pacific Ave, Livermore, CA 94550",37.675713,-121.75123
191,lodi,california,"1321 S Ham Ln, Lodi, CA 95242",38.117874,-121.288879
192,lompoc,california,"305 W College Ave, Lompoc, CA 93436",34.64754,-120.460747
193,lone pine,california,"605 S Main St, Lone Pine, CA 93545",36.601715,-118.062267
194,long beach,california,"Cherry Ave & E 2nd St, Long Beach, CA 90802",33.766361,-118.167354
195,long beach,california,"951 Maine Ave, Long Beach, CA 90813",33.77815,-118.200831
196,long beach,california,"2800 Studebaker Rd, Long Beach, CA 90804",33.806744,-118.096994
197,long beach,california,"701 E Harding St, Long Beach, CA 90805",33.867778,-118.184314
198,long beach,california,"E 15th St & Martin Luther King Jr Ave, Long Beach, CA 90813",33.785768,-118.180414
199,long beach,california,"W 14th St & N Pacific Ave, Long Beach, CA 90813",33.78383,-118.193092
200,long beach,california,"Orizaba Ave & E 14Th St, Long Beach, CA 90804",33.78495,-118.157743
201,long beach,california,"1545 W 31st St, Long Beach, CA 90810",33.814362,-118.213654
202,loomis,california,"3690 Taylor Rd, Loomis, CA 95650",38.821147,-121.19475
203,los angeles,california,"214 N Mednik Ave, Los Angeles, CA 90022",34.038342,-118.16083
204,los angeles,california,"227 N Lake St, Los Angeles, CA 90026",34.06937,-118.27068
205,los angeles,california,"3900 Selig Pl, Los Angeles, CA 90031",34.067613,-118.199989
206,los angeles,california,"2939 Marsh St, Los Angeles, CA 90039",34.106579,-118.246618
207,los angeles,california,"11223 Compton Ave, Los Angeles, CA 90059",33.932453,-118.247537
208,los angeles,california,"Nebraska Ave & Stoner Ave, Los Angeles, CA 90025",34.038971,-118.453894
209,los angeles,california,"7000 W Manchester Ave, Los Angeles, CA 90045",33.959151,-118.414554
210,los angeles,california,"5001 Rodeo Rd, Los Angeles, CA 90016",34.024083,-118.349633
211,los angeles,california,"2298 Norfolk St, Los Angeles, CA 90033",34.059615,-118.201982
212,los angeles,california,"4721 Klamath St, Los Angeles, CA 90032",34.076393,-118.182153
213,los angeles,california,"425 E 42nd Pl, Los Angeles, CA 90011",34.007085,-118.267965
214,los angeles,california,"669 S St Louis St, Los Angeles, CA 90023",34.038393,-118.218336
215,los angeles,california,"E 115th St & Croesus Ave, Los Angeles, CA 90059",33.930489,-118.233032
216,los angeles,california,"1550 W 61St St, Los Angeles, CA 90047",33.984172,-118.303562
217,los angeles,california,"670 S Commonwealth Ave, Los Angeles, CA 90057",34.062489,-118.28517
218,los angeles (highland park),california,"551 N Ave 63, Los Angeles, CA 90042",34.119309,-118.180456
219,los angeles (hollywood),california,"11484 Chandler Blvd, Los Angeles, CA 91601",34.167213,-118.382149
220,los angeles (lake view terrace),california,"Dronfield Ave & Osborne St, Los Angeles, CA 91331",34.271058,-118.394789
221,los angeles (panorama city),california,"14740 Blythe St, Los Angeles, CA 91402",34.214989,-118.454641
