name,city,state,identifier,rating,address,material,designer,builder,opened,hours,size,notes,beta,helmet,lights,photo_cred,video_url,num_pics,obstacles
veterans skate plaza,chula vista,california,chula vista6,,785 e palomar st chula vista ca 91911,concrete,,,,8am - Dusk,,,,,,,,,
winding walk skate plaza,chula vista,california,chula vista7,,windingwalk st & exploration falls dr chula vista ca 91915,concrete,,,,8am - Dusk,,,,,,,,,
rusch skatepark,citrus heights,california,citrus heights,,7801 auburn blvd citrus heights ca 95610,concrete,california skateparks,california skateparks,,,9000,,,,,,,,
krause family skatepark,san diego (clairemont),california,clairemont,,3401 clairemont dr san diego ca 92117,concrete,wally holliday/california skateparks/andy mcdonald,california skateparks,2001,,53000,mission valley ymca,This is a private skatepark.  It costs money and requires a helmet/pads to skate.,,,,,,
,claremont,california,claremont,,1717 n indian hill blvd claremont ca 91711,concrete,purkiss rose,,1998,6am - 10pm,6000,,,,lights,,,,
,clearlake,california,clearlake,,uhl ave & austin rd clearlake ca 95422,prefabricated ramps,,,,,,,,,,,,,
,cloverdale,california,cloverdale,,,prefabricated ramps,,,,,,?,,,,,,,
letterman skatepark,clovis,california,clovis,,villa ave & w 9th st clovis ca 93612,concrete,site design,,,8am - 9pm,27000,,,,lights,,,,
dateland park,coachella,california,coachella,,medina st & shady ln coachella ca 92236,prefabricated ramps,,,,,,,,,,,,,
wilson skatepark,compton,california,compton,,123 north rose ave compton ca 90220,concrete,california skateparks,california skateparks,,,10000,,,,,,,,
,concord,california,concord,,cowell rd & san miguel rd concord ca 94518,concrete,,,,,,,,,,,,,
,corning,california,corning,3,1485 toomes ave corning ca 96021,concrete,stantec,kendal construction,2013,,22000,,,,,,,,
corona city park,corona,california,corona,,930 e 6th st corona ca 92879,concrete,purkiss rose,,1999,7am - 10pm,10000,,,,lights,,,,
harada skatepark,corona,california,corona2,,13100 65th st cleveland ave corona ca,concrete,community works,california skateparks,,,10000,,,,,,,,
orchard skatepark,corona,california,corona3,,5900 festival way corona ca 92880,concrete,community works,california skateparks,,,13000,,,,,,,,
santana regional skatepark,corona,california,corona4,2,598 santana way corona ca 92881,concrete,purkiss rose,california skateparks,,,11000,,,,,,,,
james huber skatepark,corona (eastvale),california,corona5,3,6411 rolling meadow st corona ca 92880,concrete,community works design group (bill wildenberg & scott rice),california skateparks,2005,,20000,also eastvale/jurupa,,,,,,,"ledges, rails, pyramid, quarterpipes, bowl, metal coping"
,coronado,california,coronado,,2000 mullinex drive coronado ca 92118,concrete,site design,california skateparks,2001,,20000,,,,,,,,
,corte madera,california,corte madera,1,7 pixley ave corte madera ca 94925,prefabricated ramps,,,,,,,,,,,,,
volcom skatepark,costa mesa,california,costa mesa,,970 arlington dr costa mesa ca 92626,concrete,california skateparks,california skateparks,2005,"9am - 9pm, opens 3pm on Tuesdays",20000,,,,yes,,,,
,crescent city,california,crescent city,1,5th st & e st crescent city ca 95531,prefabricated ramps,,,,,,,,,,,,,
,cudahy,california,cudahy,1,5240 santa ana st cudahy ca 90201,prefabricated ramps,,,,,,,,,,,,,
,culver city,california,culver city,,9910 jefferson blvd culver city ca 90232,concrete,site design,california skateparks,,"monday - friday: 12pm - Dusk, saturday & sunday: 9:30am - 4:30pm ",15000,,A helmet/pads are required to skate this park.,,,,,,
